SQUAD,CARGO,ÁREA,QTDE,Custo M H/H,Preço M/HH,TOTAL GRUPO
BAAS,ENGENHEIRO JR WEB,PROG. WEB,1,R$ 76.52,R$ 122.44,"R$ 20,569.89"
BAAS,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 107.33,R$ 171.73,"R$ 28,849.89"
BAAS,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 132.33,R$ 211.73,"R$ 35,569.89"
BAAS,ENGENHEIRO SR WEB,PROG. WEB,1,R$ 141.26,R$ 226.01,"R$ 37,969.89"
BAAS,ANALISTA REQ PL,PRDUTO/NEGÓCIO,1,R$ 83.22,R$ 133.15,"R$ 22,369.89"
BAAS,ANALISTA QA PL,QUALIDADE,1,R$ 80.54,R$ 128.87,"R$ 21,649.89"
BAAS,ANALISTA DEVOPS SR,INFRAESTRUTURA,0.5,R$ 96.61,R$ 154.58,"R$ 12,984.94"
-,TOTAIS,-,6.5,-,-,"R$ 179,964.27"
PAY1,ENGENHEIRO JR WEB,PROG. WEB,1,R$ 76.52,R$ 122.44,"R$ 20,569.89"
PAY1,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 107.33,R$ 171.73,"R$ 28,849.89"
PAY1,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 107.33,R$ 171.73,"R$ 28,849.89"
PAY1,ENGENHEIRO SR WEB,PROG. WEB,1,R$ 141.26,R$ 226.01,"R$ 37,969.89"
PAY1,ANALISTA REQ PL,PRDUTO/NEGÓCIO,1,R$ 105.54,R$ 168.87,"R$ 28,369.89"
PAY1,ANALISTA UX PL,PRDUTO/NEGÓCIO,0.5,R$ 89.47,R$ 143.15,"R$ 12,024.94"
PAY1,ANALISTA QA PL,QUALIDADE,1,R$ 80.54,R$ 128.87,"R$ 21,649.89"
PAY1,ANALISTA DEVOPS SR,INFRAESTRUTURA,0.5,R$ 96.61,R$ 154.58,"R$ 12,984.94"
-,TOTAIS,-,9,-,-,"R$ 191,269.22"
CAPTURA/APK/SDK,ENGENHEIRO JR SDK/APK,PROG. SDK/APK,1,R$ 132.33,R$ 211.73,"R$ 35,569.89"
CAPTURA/APK/SDK,ENGENHEIRO PL SDK/APK,PROG. SDK/APK,1,R$ 163.13,R$ 261.01,"R$ 43,849.89"
CAPTURA/APK/SDK,ENGENHEIRO PL SDK/APK,PROG. SDK/APK,1,R$ 163.13,R$ 261.01,"R$ 43,849.89"
CAPTURA/APK/SDK,ENGENHEIRO SR SDK/APK,PROG. SDK/APK,1,R$ 168.04,R$ 268.87,"R$ 45,169.89"
CAPTURA/APK/SDK,ANALISTA REQ PL,PRDUTO/NEGÓCIO,1,R$ 92.15,R$ 147.44,"R$ 24,769.89"
CAPTURA/APK/SDK,ANALISTA UX PL,PRDUTO/NEGÓCIO,0.5,R$ 89.47,R$ 143.15,"R$ 12,024.94"
CAPTURA/APK/SDK,ANALISTA QA JR,QUALIDADE,0.5,R$ 59.11,R$ 94.58,"R$ 7,944.94"
CAPTURA/APK/SDK,ANALISTA DEVOPS SR,INFRAESTRUTURA,0.5,R$ 96.61,R$ 154.58,"R$ 12,984.94"
-,TOTAIS,-,10,-,-,"R$ 226,164.27"
ARRANJO F,ENGENHEIRO JR WEB,PROG. WEB,1,R$ 76.52,R$ 122.44,"R$ 20,569.89"
ARRANJO F,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 107.33,R$ 171.73,"R$ 28,849.89"
ARRANJO F,ENGENHEIRO SR WEB,PROG. WEB,1,R$ 132.33,R$ 211.73,"R$ 35,569.89"
ARRANJO F,ENGENHEIRO SR SDK/APK,PROG. SDK/APK,1,R$ 132.33,R$ 211.73,"R$ 35,569.89"
ARRANJO F,ANALISTA REQ PL,PRDUTO/NEGÓCIO,1,R$ 92.15,R$ 147.44,"R$ 24,769.89"
ARRANJO F,ANALISTA QA JR,QUALIDADE,1,R$ 59.11,R$ 94.58,"R$ 15,889.89"
ARRANJO F,ANALISTA DEVOPS PL,INFRAESTRUTURA,0.25,R$ 96.61,R$ 154.58,"R$ 6,492.47"
-,TOTAIS,-,6,-,-,"R$ 167,711.80"
APP,ENGENHEIRO JR WEB,PROG. WEB,1,R$ 76.52,R$ 122.44,"R$ 20,569.89"
APP,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 163.13,R$ 261.01,"R$ 43,849.89"
APP,ENGENHEIRO PL WEB,PROG. WEB,1,R$ 132.33,R$ 211.73,"R$ 35,569.89"
APP,ENGENHEIRO PL SDK/APK,PROG. SDK/APK,1,R$ 107.77,R$ 172.44,"R$ 28,969.89"
APP,ENGENHEIRO SR SDK/APK,PROG. SDK/APK,1,R$ 168.04,R$ 268.87,"R$ 45,169.89"
APP,ANALISTA REQ PL,PRDUTO/NEGÓCIO,1,R$ 83.22,R$ 133.15,"R$ 22,369.89"
APP,ANALISTA REQ SR,PRDUTO/NEGÓCIO,1,R$ 110.01,R$ 176.01,"R$ 29,569.89"
