,,,,,DESCRIÇÃO DA SQUAD POR PRODUTO,,
TOTAL GRUPO,Preço M H/H,Custo M H/H,QTDE,ÁREA,CARGO,SQUAD,
"R$ 20,569.89",R$ 122.44,R$ 76.52,1,PROG. WEB,ENGENHEIRO JR WEB,BAAS,
"R$ 28,849.89",R$ 171.73,R$ 107.33,1,PROG. WEB,ENGENHEIRO PL WEB,BAAS,
"R$ 35,569.89",R$ 211.73,R$ 132.33,1,PROG. WEB,ENGENHEIRO PL WEB,BAAS,
"R$ 37,969.89",R$ 226.01,R$ 141.26,1,PROG. WEB,ENGENHEIRO SR WEB,BAAS,
"R$ 22,369.89",R$ 133.15,R$ 83.22,1,PRDUTO/NEGÓCIO,ANALISTA REQ PL,BAAS,
"R$ 21,649.89",R$ 128.87,R$ 80.54,1,QUALIDADE,ANALISTA QA PL,BAAS,
"R$ 12,984.94",R$ 154.58,R$ 96.61,0.5,INFRAESTRUTURA,ANALISTA DEVOPS SR,BAAS,
"R$ 179,964.27",-,-,6.5,-,TOTAIS,-,
"R$ 20,569.89",R$ 122.44,R$ 76.52,1,PROG. WEB,ENGENHEIRO JR WEB,PAY1,
"R$ 28,849.89",R$ 171.73,R$ 107.33,1,PROG. WEB,ENGENHEIRO PL WEB,PAY1,
"R$ 28,849.89",R$ 171.73,R$ 107.33,1,PROG. WEB,ENGENHEIRO PL WEB,PAY1,
"R$ 37,969.89",R$ 226.01,R$ 141.26,1,PROG. WEB,ENGENHEIRO SR WEB,PAY1,
"R$ 28,369.89",R$ 168.87,R$ 105.54,1,PRDUTO/NEGÓCIO,ANALISTA REQ PL,PAY1,
"R$ 12,024.94",R$ 143.15,R$ 89.47,0.5,PRDUTO/NEGÓCIO,ANALISTA UX PL,PAY1,
"R$ 21,649.89",R$ 128.87,R$ 80.54,1,QUALIDADE,ANALISTA QA PL,PAY1,
"R$ 12,984.94",R$ 154.58,R$ 96.61,0.5,INFRAESTRUTURA,ANALISTA DEVOPS SR,PAY1,
"R$ 191,269.22",-,-,9,-,TOTAIS,-,
"R$ 35,569.89",R$ 211.73,R$ 132.33,1,PROG. SDK/APK,ENGENHEIRO JR SDK/APK,CAPTURA/APK/SDK,
"R$ 43,849.89",R$ 261.01,R$ 163.13,1,PROG. SDK/APK,ENGENHEIRO PL SDK/APK,CAPTURA/APK/SDK,
"R$ 43,849.89",R$ 261.01,R$ 163.13,1,PROG. SDK/APK,ENGENHEIRO PL SDK/APK,CAPTURA/APK/SDK,
"R$ 45,169.89",R$ 268.87,R$ 168.04,1,PROG. SDK/APK,ENGENHEIRO SR SDK/APK,CAPTURA/APK/SDK,
"R$ 24,769.89",R$ 147.44,R$ 92.15,1,PRDUTO/NEGÓCIO,ANALISTA REQ PL,CAPTURA/APK/SDK,
"R$ 12,024.94",R$ 143.15,R$ 89.47,0.5,PRDUTO/NEGÓCIO,ANALISTA UX PL,CAPTURA/APK/SDK,
"R$ 7,944.94",R$ 94.58,R$ 59.11,0.5,QUALIDADE,ANALISTA QA JR,CAPTURA/APK/SDK,
"R$ 12,984.94",R$ 154.58,R$ 96.61,0.5,INFRAESTRUTURA,ANALISTA DEVOPS SR,CAPTURA/APK/SDK,
"R$ 226,164.27",-,-,10,-,TOTAIS,-,
"R$ 20,569.89",R$ 122.44,R$ 76.52,1,PROG. WEB,ENGENHEIRO JR WEB,ARRANJO F,
"R$ 28,849.89",R$ 171.73,R$ 107.33,1,PROG. WEB,ENGENHEIRO PL WEB,ARRANJO F,
"R$ 35,569.89",R$ 211.73,R$ 132.33,1,PROG. WEB,ENGENHEIRO SR WEB,ARRANJO F,
"R$ 35,569.89",R$ 211.73,R$ 132.33,1,PROG. SDK/APK,ENGENHEIRO SR SDK/APK,ARRANJO F,
"R$ 24,769.89",R$ 147.44,R$ 92.15,1,PRDUTO/NEGÓCIO,ANALISTA REQ PL,ARRANJO F,
"R$ 15,889.89",R$ 94.58,R$ 59.11,1,QUALIDADE,ANALISTA QA JR,ARRANJO F,
"R$ 6,492.47",R$ 154.58,R$ 96.61,0.25,INFRAESTRUTURA,ANALISTA DEVOPS PL,ARRANJO F,
"R$ 167,711.80",-,-,6,-,TOTAIS,-,
"R$ 20,569.89",R$ 122.44,R$ 76.52,1,PROG. WEB,ENGENHEIRO JR WEB,APP,
"R$ 43,849.89",R$ 261.01,R$ 163.13,1,PROG. WEB,ENGENHEIRO PL WEB,APP,
"R$ 35,569.89",R$ 211.73,R$ 132.33,1,PROG. WEB,ENGENHEIRO PL WEB,APP,
"R$ 28,969.89",R$ 172.44,R$ 107.77,1,PROG. SDK/APK,ENGENHEIRO PL SDK/APK,APP,
"R$ 45,169.89",R$ 268.87,R$ 168.04,1,PROG. SDK/APK,ENGENHEIRO SR SDK/APK,APP,
"R$ 22,369.89",R$ 133.15,R$ 83.22,1,PRDUTO/NEGÓCIO,ANALISTA REQ PL,APP,
"R$ 29,569.89",R$ 176.01,R$ 110.01,1,PRDUTO/NEGÓCIO,ANALISTA REQ SR,APP,
"R$ 28,369.89",R$ 168.87,R$ 105.54,1,QUALIDADE,ANALISTA QA SR,APP,
"R$ 6,492.47",R$ 154.58,R$ 96.61,0.25,INFRAESTRUTURA,ANALISTA DEVOPS SR,APP,
"R$ 260,931.58",,,8.25,,TOTAIS,,
